Utterance_ID	Category	Gender	Accuracy	Completeness	Fluency	Prosodic
010270265	typical	male	9	10.0	9	9
010270294	typical	male	9	10.0	9	9
010270301	typical	male	8	10.0	9	9
010270349	typical	male	9	10.0	9	9
010270354	typical	male	9	10.0	9	8
010270356	typical	male	9	10.0	9	8
010270377	typical	male	8	10.0	9	8
010290066	typical	male	9	10.0	9	8
010290123	typical	male	8	10.0	10	9
010290152	typical	male	9	10.0	10	9
010290179	typical	male	9	10.0	10	9
010290236	typical	male	10	10.0	9	9
010290294	typical	male	9	10.0	10	10
010290330	typical	male	9	10.0	10	10
010290341	typical	male	9	10.0	10	10
010330033	typical	male	8	10.0	9	8
010330052	typical	male	8	10.0	9	9
010330053	typical	male	9	10.0	9	9
010330139	typical	male	9	10.0	9	9
010640005	typical	male	8	10.0	8	7
010640017	typical	male	8	10.0	8	7
010640028	typical	male	8	10.0	7	7
010640036	typical	male	8	10.0	8	7
010640082	typical	male	7	10.0	7	7
010640166	typical	male	8	10.0	8	7
010640277	typical	male	8	10.0	8	8
010640286	typical	male	8	10.0	8	8
010640297	typical	male	7	10.0	7	6
010920141	typical	male	8	10.0	7	6
011970004	typical	male	7	10.0	7	7
011970042	typical	male	9	10.0	9	9
011970142	typical	male	9	10.0	7	7
012030007	typical	male	9	10.0	7	8
012030024	typical	male	8	10.0	9	8
012030027	typical	male	8	10.0	8	8
012030072	typical	male	8	10.0	8	8
012030078	typical	male	8	10.0	9	8
012600017	typical	male	7	10.0	7	7
012600186	typical	male	8	10.0	7	7
012600219	typical	male	8	10.0	7	7
012600251	typical	male	7	10.0	8	7
012600295	typical	male	8	10.0	8	7
013090105	typical	male	9	10.0	8	8
013090160	typical	male	8	10.0	9	8
013090184	typical	male	8	10.0	10	9
013090185	typical	male	8	10.0	9	9
013090232	typical	male	8	10.0	8	7
013360016	typical	male	8	10.0	7	7
013360130	typical	male	8	10.0	8	8
013360171	typical	male	7	10.0	8	8
013360226	typical	male	8	10.0	9	8
013360234	typical	male	8	10.0	8	8
013360235	typical	male	8	10.0	9	8
013360360	typical	male	8	10.0	8	7
014070265	typical	male	8	10.0	7	7
014070297	typical	male	8	10.0	7	6
014070308	typical	male	7	10.0	7	7
014180158	typical	male	9	10.0	9	9
014180166	typical	male	8	10.0	9	9
014190006	typical	male	8	10.0	8	8
014190064	typical	male	7	10.0	7	7
014190108	typical	male	8	10.0	7	7
014190172	typical	male	8	10.0	8	7
014350157	typical	male	9	10.0	10	9
014350165	typical	male	9	10.0	7	7
014390009	typical	male	8	10.0	8	8
014390064	typical	male	9	10.0	8	7
014390068	typical	male	8	10.0	7	7
014390090	typical	male	8	10.0	8	7
014390143	typical	male	8	10.0	7	7
014470017	typical	male	9	10.0	8	8
014470028	typical	male	8	10.0	8	8
014470109	typical	male	8	10.0	8	8
014470141	typical	male	8	10.0	7	7
020340043	typical	male	8	10.0	8	8
020340096	typical	male	8	10.0	8	8
020340098	typical	male	8	10.0	8	8
020340156	typical	male	8	10.0	8	8
020340166	typical	male	8	10.0	9	9
022360092	typical	male	9	10.0	8	8
022360186	typical	male	9	10.0	8	8
022360227	typical	male	8	10.0	8	7
022360350	typical	male	8	10.0	8	8
022420015	typical	male	9	10.0	10	10
022420067	typical	male	9	10.0	10	10
022420086	typical	male	9	10.0	9	9
022420106	typical	male	10	10.0	10	9
022420146	typical	male	9	10.0	10	9
022420168	typical	male	10	10.0	10	9
022420172	typical	male	9	10.0	10	9
022420346	typical	male	9	10.0	9	9
026210047	typical	male	8	10.0	8	8
026210132	typical	male	9	10.0	8	8
026210135	typical	male	8	10.0	8	8
026210136	typical	male	8	10.0	8	8
026210177	typical	male	8	10.0	8	7
026210220	typical	male	8	10.0	8	8
026210302	typical	male	8	10.0	8	8
030020047	typical	male	9	10.0	8	8
030020112	typical	male	9	10.0	9	9
030020117	typical	male	8	10.0	8	8
030020161	typical	male	9	10.0	8	8
030020162	typical	male	8	10.0	8	8
030200016	typical	male	9	10.0	9	9
030200018	typical	male	9	10.0	9	8
030200019	typical	male	9	10.0	9	8
030200076	typical	male	9	10.0	9	8
030200101	typical	male	9	10.0	7	7
030200137	typical	male	9	10.0	7	6
030200153	typical	male	8	10.0	8	8
030230018	typical	male	9	10.0	9	9
030230060	typical	male	9	10.0	8	8
030230276	typical	male	8	10.0	9	9
030460032	typical	male	8	10.0	8	8
030460048	typical	male	8	10.0	7	8
030460051	typical	male	8	10.0	7	6
030460085	typical	male	8	10.0	8	7
030460114	typical	male	8	10.0	8	6
030460146	typical	male	8	10.0	7	7
030460147	typical	male	7	10.0	6	6
030460157	typical	male	8	10.0	7	7
030460160	typical	male	8	10.0	7	7
030490013	typical	male	8	10.0	7	7
030490040	typical	male	8	10.0	6	7
030490062	typical	male	8	10.0	7	7
030490127	typical	male	8	10.0	7	7
030490142	typical	male	8	10.0	7	7
030490168	typical	male	8	10.0	8	8
030490170	typical	male	8	10.0	8	7
030680054	typical	male	8	10.0	8	8
030680090	typical	male	8	10.0	8	8
030680097	typical	male	8	10.0	8	6
030680140	typical	male	8	10.0	7	7
030880015	typical	male	8	10.0	8	8
030880018	typical	male	8	10.0	8	8
030880025	typical	male	8	10.0	7	7
030880057	typical	male	8	10.0	8	8
030880067	typical	male	7	10.0	8	8
030880092	typical	male	8	10.0	8	8
030880172	typical	male	8	10.0	9	8
036360027	typical	male	9	10.0	8	8
036360029	typical	male	9	10.0	8	8
036360034	typical	male	9	10.0	9	9
036360071	typical	male	9	10.0	7	6
036360160	typical	male	8	10.0	8	8
036360174	typical	male	8	10.0	9	8
054010055	typical	male	9	10.0	8	8
054010061	typical	male	9	10.0	8	8
054010079	typical	male	8	10.0	7	7
054010091	typical	male	8	10.0	8	8
054010095	typical	male	8	10.0	8	8
054010105	typical	male	9	10.0	8	8
054010155	typical	male	8	10.0	8	8
054080008	typical	male	9	10.0	9	9
054080011	typical	male	8	10.0	9	9
054080019	typical	male	9	10.0	8	8
054080033	typical	male	8	10.0	8	8
054080035	typical	male	9	10.0	8	8
054080123	typical	male	8	10.0	8	8
055510029	typical	male	9	10.0	9	8
055510046	typical	male	8	10.0	7	8
055510070	typical	male	8	10.0	8	8
055510079	typical	male	8	10.0	7	6
055510084	typical	male	8	10.0	8	8
055510093	typical	male	8	10.0	7	8
055510110	typical	male	9	10.0	8	8
055510130	typical	male	8	10.0	8	8
055510143	typical	male	8	10.0	7	6
060480082	typical	male	8	10.0	8	8
060480104	typical	male	8	10.0	8	7
060480168	typical	male	8	10.0	7	7
060480169	typical	male	8	10.0	7	7
065040077	typical	male	10	10.0	9	9
065040112	typical	male	9	10.0	8	7
065040124	typical	male	8	10.0	8	8
065040126	typical	male	9	10.0	9	8
065040134	typical	male	9	10.0	8	8
065040160	typical	male	9	10.0	9	8
069120025	typical	male	9	10.0	7	7
069120121	typical	male	8	10.0	8	8
085850024	typical	male	9	10.0	9	9
085850039	typical	male	8	10.0	9	9
085850046	typical	male	9	10.0	9	8
085850075	typical	male	8	10.0	8	8
085850094	typical	male	8	10.0	8	8
085850112	typical	male	8	10.0	9	7
085850138	typical	male	8	10.0	8	8
085850170	typical	male	8	10.0	8	7
095560005	typical	male	7	10.0	8	8
095560010	typical	male	8	10.0	7	7
095560017	typical	male	8	10.0	7	7
095560069	typical	male	8	10.0	8	7
095560115	typical	male	9	10.0	9	9
095560133	typical	male	8	10.0	7	7
095560163	typical	male	8	10.0	8	8
096240008	typical	male	7	10.0	7	7
096390007	typical	male	8	10.0	8	8
096390009	typical	male	7	10.0	7	7
096390017	typical	male	7	10.0	7	7
096190002	typical	male	7	10.0	7	6
000060029	typical	female	9	10.0	9	9
000060031	typical	female	9	10.0	9	9
000060082	typical	female	9	10.0	9	9
000060083	typical	female	10	10.0	9	9
000060116	typical	female	10	10.0	10	9
000260048	typical	female	9	10.0	9	9
000260126	typical	female	9	10.0	9	9
000360034	typical	female	9	10.0	9	8
000360132	typical	female	9	10.0	9	8
000360190	typical	female	9	10.0	8	7
000360313	typical	female	8	10.0	9	8
000360314	typical	female	9	10.0	9	8
000360339	typical	female	8	10.0	9	8
000360378	typical	female	9	10.0	9	8
000530003	typical	female	8	10.0	9	8
000530006	typical	female	9	10.0	9	8
000530027	typical	female	7	10.0	9	8
000530077	typical	female	7	10.0	8	7
000530094	typical	female	8	10.0	8	7
000530154	typical	female	8	10.0	9	7
000530163	typical	female	8	10.0	8	8
000700008	typical	female	8	10.0	7	8
000700034	typical	female	9	10.0	8	8
000700037	typical	female	8	10.0	8	8
001040022	typical	female	9	10.0	8	8
001040026	typical	female	9	10.0	9	8
001040067	typical	female	9	10.0	8	8
001040069	typical	female	9	10.0	7	7
001040073	typical	female	8	10.0	8	7
001040106	typical	female	8	10.0	7	8
001040115	typical	female	8	10.0	8	8
001040134	typical	female	9	10.0	9	8
001040149	typical	female	8	10.0	7	7
001350091	typical	female	8	10.0	9	9
001350163	typical	female	9	10.0	9	9
001350216	typical	female	9	10.0	10	9
001350350	typical	female	10	10.0	10	10
001450037	typical	female	9	10.0	7	7
001450043	typical	female	8	10.0	8	8
001450049	typical	female	8	10.0	8	7
001450083	typical	female	7	10.0	8	7
001450159	typical	female	8	10.0	7	7
005750168	typical	female	8	10.0	6	6
005750178	typical	female	7	10.0	6	6
005750298	typical	female	8	10.0	7	6
005750303	typical	female	8	10.0	7	6
005750330	typical	female	8	10.0	7	6
005940025	typical	female	8	10.0	7	6
005940142	typical	female	8	10.0	7	6
005940174	typical	female	7	10.0	6	5
005940271	typical	female	8	10.0	7	6
005940304	typical	female	8	10.0	8	7
008130281	typical	female	10	10.0	9	10
008130283	typical	female	9	10.0	10	9
008130340	typical	female	9	10.0	10	9
008130380	typical	female	9	10.0	10	10
010420025	typical	female	8	10.0	8	8
010420034	typical	female	8	10.0	8	8
010420047	typical	female	10	10.0	9	7
010420157	typical	female	8	10.0	8	7
010420167	typical	female	8	10.0	7	7
010440038	typical	female	10	10.0	9	10
010440064	typical	female	8	10.0	9	8
010440106	typical	female	8	10.0	7	7
013620162	typical	female	9	10.0	9	8
013620184	typical	female	8	10.0	7	7
013620210	typical	female	8	10.0	8	7
013620366	typical	female	8	10.0	8	8
013720051	typical	female	8	10.0	8	7
013720082	typical	female	8	10.0	8	8
013720140	typical	female	8	10.0	8	7
013720153	typical	female	8	10.0	8	7
013720274	typical	female	8	10.0	8	7
013720275	typical	female	9	10.0	9	9
013720360	typical	female	8	10.0	8	7
020220021	typical	female	8	10.0	8	8
020220033	typical	female	8	10.0	9	8
020220091	typical	female	8	10.0	9	9
020220176	typical	female	8	10.0	9	8
020220221	typical	female	8	10.0	9	9
020220264	typical	female	8	10.0	9	8
020360017	typical	female	9	10.0	10	9
020360019	typical	female	9	10.0	9	9
020360220	typical	female	9	10.0	10	9
020360299	typical	female	9	10.0	10	9
020360301	typical	female	10	10.0	10	9
020360312	typical	female	9	10.0	10	9
020590103	typical	female	9	10.0	8	8
020590164	typical	female	9	10.0	9	9
020590228	typical	female	9	10.0	8	8
020610175	typical	female	8	10.0	9	9
020610194	typical	female	8	10.0	9	8
020610316	typical	female	9	10.0	9	9
020890003	typical	female	9	10.0	8	8
020890206	typical	female	9	10.0	9	9
020890260	typical	female	8	10.0	9	8
020890313	typical	female	9	10.0	9	9
021290068	typical	female	9	10.0	9	9
021290160	typical	female	9	10.0	9	9
021290324	typical	female	10	10.0	9	9
021290326	typical	female	9	10.0	9	9
021680237	typical	female	9	10.0	9	9
021680297	typical	female	9	10.0	9	8
021680380	typical	female	8	10.0	9	9
021700034	typical	female	8	10.0	9	9
021700062	typical	female	9	10.0	10	9
021700131	typical	female	10	10.0	10	9
021700211	typical	female	9	10.0	9	9
021700224	typical	female	9	10.0	9	9
021700232	typical	female	9	10.0	9	9
021700362	typical	female	9	10.0	9	9
021790025	typical	female	9	10.0	10	9
021790030	typical	female	9	10.0	9	9
021790043	typical	female	10	10.0	9	9
021790081	typical	female	9	10.0	9	9
021790083	typical	female	9	10.0	9	9
021790168	typical	female	9	10.0	9	9
022080038	typical	female	9	10.0	9	9
022080085	typical	female	7	10.0	7	7
022080181	typical	female	9	10.0	8	8
022080204	typical	female	8	10.0	8	7
022080299	typical	female	8	10.0	8	8
022080340	typical	female	9	10.0	9	8
022440062	typical	female	8	10.0	8	8
022440144	typical	female	9	10.0	9	8
022440352	typical	female	8	10.0	8	8
022510069	typical	female	8	10.0	8	8
022510152	typical	female	8	10.0	8	8
022510166	typical	female	10	10.0	9	8
022510211	typical	female	8	10.0	9	9
022820042	typical	female	7	10.0	8	7
022820079	typical	female	8	10.0	9	8
022820106	typical	female	7	10.0	8	8
022820121	typical	female	8	10.0	8	8
023800114	typical	female	9	10.0	8	8
023800277	typical	female	9	10.0	9	9
023800280	typical	female	9	10.0	9	8
023800363	typical	female	9	10.0	9	8
023800368	typical	female	9	10.0	9	9
024020053	typical	female	9	10.0	9	9
024020084	typical	female	8	10.0	9	9
024020142	typical	female	8	10.0	9	9
024020175	typical	female	9	10.0	9	9
024020253	typical	female	7	10.0	8	8
024020256	typical	female	10	10.0	9	10
024020260	typical	female	9	10.0	9	9
024020265	typical	female	9	10.0	10	9
024020291	typical	female	9	10.0	9	8
024020328	typical	female	9	10.0	9	9
024270028	typical	female	9	10.0	7	7
024270051	typical	female	8	10.0	8	8
024270057	typical	female	8	10.0	8	8
024270127	typical	female	9	10.0	9	9
024270183	typical	female	9	10.0	9	8
024300052	typical	female	8	10.0	8	8
024300061	typical	female	9	10.0	9	9
024300068	typical	female	8	10.0	7	7
024300080	typical	female	8	10.0	9	8
024300082	typical	female	8	10.0	8	8
024300330	typical	female	9	10.0	8	8
024300345	typical	female	9	10.0	9	9
024500151	typical	female	10	10.0	9	9
024500317	typical	female	9	10.0	8	8
027990059	typical	female	8	10.0	10	9
027990066	typical	female	8	10.0	9	8
027990153	typical	female	9	10.0	9	8
027990341	typical	female	9	10.0	9	8
029810027	typical	female	8	10.0	8	8
029810234	typical	female	8	10.0	8	8
029810235	typical	female	8	10.0	8	8
029810349	typical	female	9	10.0	9	9
029810360	typical	female	8	10.0	9	9
030210042	typical	female	8	10.0	8	8
030210044	typical	female	8	10.0	8	7
030210050	typical	female	8	10.0	8	8
030210074	typical	female	8	10.0	8	8
030210123	typical	female	8	10.0	8	8
030210137	typical	female	9	10.0	9	8
030210152	typical	female	8	10.0	7	7
030210165	typical	female	8	10.0	7	6
030830001	typical	female	8	10.0	8	7
030830013	typical	female	8	10.0	8	7
030830093	typical	female	8	10.0	7	7
030830124	typical	female	7	10.0	7	7
030830154	typical	female	8	10.0	9	8
032080058	typical	female	8	10.0	8	8
032080093	typical	female	9	10.0	9	8
032080103	typical	female	9	10.0	9	9
034230051	typical	female	9	10.0	8	8
034230058	typical	female	8	10.0	8	8
034230063	typical	female	9	10.0	9	9
034230141	typical	female	8	10.0	8	8
034230154	typical	female	9	10.0	9	9
034230168	typical	female	8	10.0	8	8
038370045	typical	female	7	10.0	7	7
038370052	typical	female	9	10.0	9	9
038370056	typical	female	8	10.0	8	8
038370081	typical	female	9	10.0	8	8
038370097	typical	female	8	10.0	8	8
038370153	typical	female	8	10.0	7	7
038370167	typical	female	8	10.0	8	8
040050015	typical	female	10	10.0	8	9
040050060	typical	female	8	10.0	8	8
051950005	typical	female	9	10.0	9	9
051950088	typical	female	10	10.0	10	10
051950096	typical	female	9	10.0	9	9
052180098	typical	female	8	10.0	8	8
052180146	typical	female	8	10.0	9	9
052180160	typical	female	9	10.0	8	8
054140039	typical	female	9	10.0	8	8
054140077	typical	female	8	10.0	8	7
054140104	typical	female	8	10.0	8	8
054140158	typical	female	8	10.0	8	8
054180033	typical	female	8	10.0	8	8
054180075	typical	female	9	10.0	8	8
054180174	typical	female	9	10.0	9	9
054240038	typical	female	9	10.0	9	9
054240048	typical	female	9	10.0	8	8
054240079	typical	female	10	10.0	9	9
054240094	typical	female	9	10.0	9	9
054240116	typical	female	9	10.0	8	8
054240117	typical	female	8	10.0	9	8
054240126	typical	female	8	10.0	8	8
054240138	typical	female	9	10.0	9	8
060100037	typical	female	8	10.0	8	8
060100081	typical	female	9	10.0	8	8
060100105	typical	female	8	10.0	8	7
061210013	typical	female	9	10.0	10	8
061210068	typical	female	9	10.0	10	9
061210129	typical	female	9	10.0	10	9
061210148	typical	female	8	10.0	10	9
061210174	typical	female	9	10.0	10	9
064010103	typical	female	8	10.0	7	7
064010107	typical	female	8	10.0	7	7
075510017	typical	female	9	10.0	8	8
075510038	typical	female	8	10.0	8	7
075510076	typical	female	9	10.0	9	9
075510091	typical	female	8	10.0	8	7
075510137	typical	female	8	10.0	8	8
075510144	typical	female	8	10.0	9	9
080570053	typical	female	9	10.0	8	8
080570071	typical	female	8	10.0	8	8
080570072	typical	female	8	10.0	8	7
080570081	typical	female	8	10.0	7	7
080570102	typical	female	8	10.0	8	7
080570157	typical	female	8	10.0	8	7
090340032	typical	female	9	10.0	9	8
090340043	typical	female	9	10.0	8	7
090340071	typical	female	8	10.0	9	9
090340085	typical	female	9	10.0	8	8
090340158	typical	female	9	10.0	9	9
090340168	typical	female	7	10.0	7	7
090700008	typical	female	8	10.0	8	8
090700054	typical	female	8	10.0	9	8
090700055	typical	female	8	10.0	9	8
090700059	typical	female	8	10.0	8	7
090700065	typical	female	8	10.0	8	8
090700148	typical	female	9	10.0	9	8
090700164	typical	female	9	10.0	8	8
096110008	typical	female	7	10.0	7	7
096450008	typical	female	7	10.0	7	6
000010113	atypical	male	6	10.0	9	8
000050024	atypical	male	7	10.0	6	6
000050079	atypical	male	7	10.0	6	6
000050083	atypical	male	6	7.5	7	7
000050118	atypical	male	6	10.0	7	6
000050122	atypical	male	6	10.0	6	5
000480014	atypical	male	6	10.0	8	7
000480016	atypical	male	6	10.0	8	7
000480023	atypical	male	6	10.0	8	8
000480033	atypical	male	5	10.0	7	7
000480081	atypical	male	7	10.0	8	8
000480090	atypical	male	4	10.0	7	7
000480108	atypical	male	5	10.0	8	7
000480125	atypical	male	5	10.0	6	6
000480134	atypical	male	6	10.0	8	7
000480136	atypical	male	5	10.0	7	7
000480151	atypical	male	7	10.0	7	8
000540062	atypical	male	6	10.0	8	8
000560026	atypical	male	6	10.0	9	8
000560038	atypical	male	6	10.0	7	8
000560058	atypical	male	7	10.0	6	6
000560117	atypical	male	7	10.0	5	6
000560159	atypical	male	6	10.0	7	8
000560162	atypical	male	7	10.0	7	7
000750068	atypical	male	6	10.0	7	8
000750128	atypical	male	6	10.0	8	8
000750134	atypical	male	7	10.0	8	8
001310162	atypical	male	3	10.0	7	7
004820370	atypical	male	3	10.0	10	9
005600015	atypical	male	7	10.0	8	7
005600129	atypical	male	7	10.0	7	6
005600205	atypical	male	7	10.0	7	6
005600214	atypical	male	7	10.0	6	7
005600296	atypical	male	6	10.0	7	7
005600318	atypical	male	7	10.0	7	6
007390013	atypical	male	6	10.0	7	6
007390019	atypical	male	4	10.0	6	6
007390062	atypical	male	7	10.0	7	5
007390070	atypical	male	6	10.0	6	6
007390139	atypical	male	7	10.0	7	6
007390160	atypical	male	7	10.0	7	6
007390195	atypical	male	7	10.0	5	5
007390197	atypical	male	7	10.0	7	6
007390208	atypical	male	7	10.0	6	6
007390211	atypical	male	7	10.0	7	6
007390220	atypical	male	7	10.0	7	6
007390238	atypical	male	7	10.0	6	6
007390281	atypical	male	7	10.0	6	7
007390355	atypical	male	6	10.0	7	6
009600335	atypical	male	7	10.0	7	6
009600337	atypical	male	6	10.0	6	6
010640056	atypical	male	6	10.0	7	6
010640366	atypical	male	6	10.0	7	7
010920024	atypical	male	7	10.0	7	6
010920025	atypical	male	6	10.0	6	6
010920033	atypical	male	7	10.0	9	6
010920065	atypical	male	6	10.0	7	7
010920070	atypical	male	6	10.0	7	7
010920125	atypical	male	4	10.0	6	6
010920138	atypical	male	6	10.0	6	6
011970132	atypical	male	7	10.0	6	7
012030053	atypical	male	7	10.0	9	8
013360001	atypical	male	3	10.0	8	8
013360162	atypical	male	7	10.0	9	8
014070336	atypical	male	6	10.0	7	7
014070341	atypical	male	7	10.0	7	7
014180143	atypical	male	7	10.0	6	7
014190025	atypical	male	7	10.0	7	7
014190060	atypical	male	5	10.0	8	7
014190062	atypical	male	3	10.0	8	7
014190098	atypical	male	7	10.0	9	8
014350017	atypical	male	7	10.0	7	7
014350018	atypical	male	6	10.0	8	8
014350103	atypical	male	3	10.0	7	7
014350127	atypical	male	5	10.0	6	6
014350133	atypical	male	3	10.0	6	7
014350146	atypical	male	4	8.6	6	6
014470150	atypical	male	4	10.0	8	7
020340109	atypical	male	7	10.0	8	8
030020126	atypical	male	6	10.0	8	7
030490095	atypical	male	7	10.0	7	6
030490166	atypical	male	3	10.0	6	6
030880003	atypical	male	6	10.0	7	6
030880099	atypical	male	7	10.0	8	8
069120014	atypical	male	4	10.0	7	7
069120072	atypical	male	6	10.0	8	8
085850042	atypical	male	6	10.0	8	7
085850044	atypical	male	7	10.0	7	7
085850092	atypical	male	7	10.0	7	6
095560054	atypical	male	7	10.0	8	8
095560129	atypical	male	7	10.0	8	7
096090001	atypical	male	3	10.0	5	5
096090003	atypical	male	4	10.0	5	5
096090005	atypical	male	5	10.0	5	5
096090006	atypical	male	3	10.0	4	4
096090007	atypical	male	4	10.0	4	3
096090008	atypical	male	5	10.0	5	5
096090010	atypical	male	3	10.0	4	4
096090011	atypical	male	4	10.0	4	4
096090014	atypical	male	5	10.0	4	4
096090015	atypical	male	3	10.0	5	5
096090017	atypical	male	4	10.0	4	3
096090018	atypical	male	5	10.0	5	5
096090019	atypical	male	3	10.0	5	4
096090020	atypical	male	4	10.0	4	4
096090021	atypical	male	5	10.0	5	5
096090023	atypical	male	3	10.0	3	3
096090024	atypical	male	4	10.0	4	4
096090025	atypical	male	5	10.0	5	4
096090026	atypical	male	3	10.0	5	5
096090027	atypical	male	4	10.0	4	3
096240001	atypical	male	7	10.0	7	5
096240002	atypical	male	6	10.0	6	5
096240003	atypical	male	5	10.0	5	5
096240004	atypical	male	3	10.0	5	5
096240005	atypical	male	7	10.0	6	5
096240006	atypical	male	5	10.0	4	4
096240007	atypical	male	3	10.0	4	5
096240009	atypical	male	5	10.0	5	5
096240010	atypical	male	3	10.0	5	5
096240011	atypical	male	4	10.0	5	5
096240012	atypical	male	5	10.0	5	4
096240013	atypical	male	6	10.0	6	6
096240014	atypical	male	4	10.0	5	5
096240015	atypical	male	5	10.0	5	5
096240016	atypical	male	3	10.0	6	6
096240017	atypical	male	4	10.0	5	5
096240019	atypical	male	5	10.0	4	4
096240020	atypical	male	3	10.0	6	6
096240021	atypical	male	4	10.0	5	4
096280011	atypical	male	5	10.0	5	4
096280012	atypical	male	3	10.0	5	5
096280013	atypical	male	4	10.0	4	4
096280014	atypical	male	5	10.0	5	5
096280015	atypical	male	3	10.0	4	5
096280016	atypical	male	4	10.0	5	5
096280017	atypical	male	6	10.0	4	5
096280018	atypical	male	3	10.0	5	5
096280019	atypical	male	5	10.0	5	5
096280020	atypical	male	5	10.0	5	4
096280021	atypical	male	3	10.0	5	5
096280022	atypical	male	4	10.0	4	4
096280023	atypical	male	5	10.0	5	5
096280024	atypical	male	5	10.0	5	5
096280025	atypical	male	4	10.0	5	5
096280027	atypical	male	3	10.0	7	6
096280028	atypical	male	4	10.0	5	5
096280029	atypical	male	6	10.0	6	6
096280030	atypical	male	3	10.0	5	6
096390001	atypical	male	6	10.0	7	7
096390002	atypical	male	6	10.0	7	7
096390003	atypical	male	4	10.0	7	7
096390004	atypical	male	7	10.0	6	6
096390005	atypical	male	6	10.0	7	7
096390006	atypical	male	4	10.0	6	6
096390011	atypical	male	7	10.0	6	7
096390012	atypical	male	6	10.0	7	7
096390013	atypical	male	5	10.0	6	7
096390016	atypical	male	6	10.0	7	7
096390018	atypical	male	4	10.0	7	6
096390019	atypical	male	7	10.0	7	7
096390020	atypical	male	3	10.0	6	6
096490001	atypical	male	6	10.0	6	6
096490002	atypical	male	5	10.0	4	3
096490003	atypical	male	3	10.0	4	4
096490004	atypical	male	4	10.0	5	4
096490005	atypical	male	5	10.0	4	3
096490006	atypical	male	3	10.0	6	6
096490007	atypical	male	4	10.0	4	3
096490008	atypical	male	5	10.0	5	4
096490009	atypical	male	3	10.0	4	4
096490010	atypical	male	7	10.0	7	6
096490011	atypical	male	3	10.0	1	1
096490012	atypical	male	3	10.0	5	5
096490013	atypical	male	6	10.0	7	6
096490014	atypical	male	6	10.0	7	7
096490015	atypical	male	6	10.0	6	6
096490016	atypical	male	4	10.0	4	3
096490017	atypical	male	5	10.0	6	6
096490018	atypical	male	3	10.0	6	6
096490019	atypical	male	5	10.0	6	5
096490020	atypical	male	4	10.0	5	4
070010001	atypical	male	6	10.0	6	6
070010002	atypical	male	6	10.0	5	5
070010003	atypical	male	5	10.0	5	5
070010004	atypical	male	3	10.0	5	5
070010005	atypical	male	4	10.0	4	4
070010006	atypical	male	5	10.0	4	4
070010007	atypical	male	6	10.0	5	5
070010008	atypical	male	4	10.0	5	5
070010009	atypical	male	5	10.0	5	5
070010010	atypical	male	4	10.0	5	5
070010011	atypical	male	7	10.0	5	5
070010012	atypical	male	6	10.0	5	5
070010013	atypical	male	6	10.0	5	5
070010014	atypical	male	6	10.0	5	5
070010015	atypical	male	5	10.0	4	4
070010016	atypical	male	6	10.0	4	4
070010017	atypical	male	4	10.0	4	4
070010018	atypical	male	5	10.0	5	5
